"Date","Description","H/A","S1","S1P","S2","S2P","S3","S3P","S4","S4P","S5","S5P","Sets","SetsP","LPZ-Diff","Live-PZ","Live-PZ-O"
10.09.2015,"Einzel 1","A","-",5,"-",3,"-",8,,,,,"-",0,-9,1607,1597
10.09.2015,"Einzel 2","A","-",9,"+",7,"-",7,"+",5,"+",11,"+",2,+10,1607,1638
14.09.2015,"Einzel 1","H","+",5,"+",3,"+",4,,,,,"+",0,+1,1608,1405
14.09.2015,"Einzel 2","H","+",9,"-",1,"-",1,"+",8,"+",5,"+",2,+1,1608,1429
28.09.2015,"Einzel 1","H","+",5,"+",7,"-",6,"-",6,"-",9,"-",2,-12,1610,1545
28.09.2015,"Einzel 2","H","+",5,"-",6,"+",9,"-",4,"-",5,"-",2,-3,1610,1709
04.10.2015,"Einzel 1","A","-",8,"+",6,"-",8,"-",8,,,"-",1,-5,1595,1640
04.10.2015,"Einzel 2","A","-",4,"-",9,"-",9,,,,,"-",0,-3,1595,1686
07.10.2015,"Einzel 1","A","-",13,"+",8,"-",9,"-",7,,,"-",1,-9,1587,1563
07.10.2015,"Einzel 2","A","-",7,"-",7,"-",4,,,,,"-",0,-2,1587,1730
06.11.2015,"Einzel 1","A","-",7,"-",10,"-",8,,,,,"-",0,-8,1576,1576
12.11.2015,"Einzel 1","H","+",11,"+",8,"-",3,"-",8,"-",8,"-",2,-10,1568,1542
12.11.2015,"Einzel 2","H","-",8,"-",10,"+",11,"+",10,"+",8,"+",2,+10,1568,1602
19.11.2015,"Einzel 1","H","-",6,"-",7,"-",8,,,,,"-",0,-2,1568,1688
19.11.2015,"Einzel 2","H","-",10,"+",9,"-",8,"-",8,,,"-",1,-4,1568,1647
23.11.2015,"Einzel 1","A","-",8,"-",13,"-",6,,,,,"-",0,-1,1562,1721
21.01.2016,"Einzel 1","A","+",9,"-",8,"-",5,"+",12,"+",4,"+",2,+4,1561,1486
21.01.2016,"Einzel 2","A","-",8,"+",8,"+",5,"+",3,,,"+",1,+9,1561,1572
10.02.2016,"Einzel 1","A","-",6,"-",6,"-",6,,,,,"-",0,-14,1574,1451
10.02.2016,"Einzel 2","A","+",5,"+",6,"+",5,,,,,"+",0,+4,1574,1504
14.02.2016,"Einzel 1","A","-",8,"-",3,"-",6,,,,,"-",0,-5,1564,1622
16.02.2016,"Einzel 1","A","-",9,"-",8,"-",6,,,,,"-",0,-6,1559,1599
25.02.2016,"Einzel 1","A","-",15,"+",9,"-",10,"+",9,"-",10,"-",2,-8,1553,1558
25.02.2016,"Einzel 2","A","-",7,"-",9,"+",6,"+",9,"+",11,"+",2,+7,1553,1536
07.03.2016,"Einzel 1","A","+",8,"+",1,"+",5,,,,,"+",0,+3,1552,1404
07.03.2016,"Einzel 2","A","-",8,"+",10,"+",5,"-",9,"+",9,"+",2,+1,1552,1465
13.03.2016,"Einzel 1","A","+",7,"+",6,"-",13,"-",5,"-",6,"-",2,-7,1556,1574
11.04.2016,"Einzel 1","A","+",6,"-",10,"-",7,"+",5,"-",3,"-",2,-11,1549,1502
11.04.2016,"Einzel 2","A","+",9,"+",8,"+",5,,,,,"+",0,+3,1549,1465
15.04.2016,"Einzel 1","A","+",13,"+",10,"-",9,"-",7,"+",7,"+",2,+11,1541,1586
15.04.2016,"Einzel 2","A","+",9,"-",5,"-",10,"-",8,,,"-",1,-6,1541,1577
18.04.2016,"Einzel 1","A","-",9,"-",5,"+",8,"-",8,,,"-",1,-13,1546,1455
18.04.2016,"Einzel 2","A","-",9,"-",8,"+",6,"-",8,,,"-",1,-10,1546,1517
19.04.2016,,,,,,,,,,,,,,,,1523,
